iter	Logloss
1728	0.5739759658
1729	0.5739696986
1730	0.573965301
1731	0.5739571945
1732	0.5739433641
1733	0.5739360102
1734	0.5739295507
1735	0.5739235771
1736	0.5739156022
1737	0.573908228
1738	0.5738996625
1739	0.5738917753
1740	0.5738838544
1741	0.5738755724
1742	0.5738687044
1743	0.5738604292
1744	0.573852839
1745	0.5738448978
1746	0.5738375304
1747	0.5738317796
1748	0.5738236764
1749	0.5738141963
1750	0.5738051279
1751	0.5737976795
1752	0.5737917329
1753	0.5737833024
1754	0.5737757392
1755	0.5737663334
1756	0.5737583686
1757	0.5737515715
1758	0.5737438801
1759	0.5737385612
1760	0.5737311938
1761	0.5737065975
1762	0.5736990141
1763	0.573689534
1764	0.5736844952
1765	0.5736774248
1766	0.5736721869
1767	0.5736612556
1768	0.5736518565
1769	0.5736448536
1770	0.5736372296
1771	0.5736314451
1772	0.5736220257
1773	0.5736121473
1774	0.5736020429
1775	0.5735948543
1776	0.5735894679
1777	0.5735807236
1778	0.5735715371
1779	0.5735658065
1780	0.5735574097
1781	0.5735476663
1782	0.5735378285
1783	0.5735307344
1784	0.5735249937
1785	0.5735142041
1786	0.5735076129
1787	0.5734972891
1788	0.5734909004
1789	0.5734826724
1790	0.5734781061
1791	0.5734702932
1792	0.5734616062
1793	0.5734547315
1794	0.5734485926
1795	0.5734399157
1796	0.5734307899
1797	0.5734201286
1798	0.5734141415
1799	0.573405603
1800	0.5733985865
1801	0.573389427
1802	0.5733840508
1803	0.5733770445
1804	0.5733693767
1805	0.5733624919
1806	0.5733521073
1807	0.5733429816
1808	0.5733359483
1809	0.5733244196
1810	0.5733148348
1811	0.5733065393
1812	0.5733001877
1813	0.5732914838
1814	0.5732848623
1815	0.5732786288
1816	0.5732679169
1817	0.5732590544
1818	0.5732523855
1819	0.5732414373
1820	0.5732356089
1821	0.5732289063
1822	0.5732172426
1823	0.5732122208
1824	0.5732040265
1825	0.5731997471
1826	0.5731937904
1827	0.5731871789
1828	0.5731828287
1829	0.5731759068
1830	0.5731697071
1831	0.5731604126
1832	0.5731539395
1833	0.5731472875
1834	0.5731408921
1835	0.5731331028
1836	0.5731251043
1837	0.5731109027
1838	0.5731034306
1839	0.5730947234
1840	0.5730809875
1841	0.5730710349
1842	0.5730589021
1843	0.5730515853
1844	0.5730403738
1845	0.5730340864
1846	0.5730271442
1847	0.5730187677
1848	0.5730106713
1849	0.5730018425
1850	0.5729953357
1851	0.5729894532
1852	0.5729823862
1853	0.5729738578
1854	0.5729655049
1855	0.572956072
1856	0.5729499837
1857	0.572941651
1858	0.5729356066
1859	0.5729189075
1860	0.5729089853
1861	0.5729003759
1862	0.5728944462
1863	0.5728869235
1864	0.5728797046
1865	0.5728729379
1866	0.5728696474
1867	0.5728630933
1868	0.5728563806
1869	0.572850623
1870	0.5728415243
1871	0.5728343492
1872	0.572828352
1873	0.5728209137
1874	0.5728137758
1875	0.5728053891
1876	0.5727987473
1877	0.572789274
1878	0.5727791594
1879	0.572772558
1880	0.5727643604
1881	0.5727464599
1882	0.5727372194
1883	0.572727719
1884	0.5727225892
1885	0.5727160081
1886	0.5727092448
1887	0.5726992584
1888	0.5726913679
1889	0.5726841355
1890	0.5726789415
1891	0.5726706358
1892	0.5726652731
1893	0.5726548615
1894	0.5726486922
1895	0.572641723
1896	0.5726349934
1897	0.5726274235
1898	0.5726173899
1899	0.5726114771
1900	0.5726012848
1901	0.5725914942
1902	0.5725833843
1903	0.5725791522
1904	0.5725721459
1905	0.5725673468
1906	0.5725573773
1907	0.5725482583
1908	0.5725398649
1909	0.5725318866
1910	0.5725203951
1911	0.5725162979
1912	0.5725089777
1913	0.5725021773
1914	0.5724953971
1915	0.5724844894
1916	0.5724753097
1917	0.5724708885
1918	0.572467598
1919	0.5724598053
1920	0.5724516887
1921	0.5724446655
1922	0.5724362755
1923	0.5724279935
1924	0.5724229547
1925	0.5724168225
1926	0.5724073795
1927	0.5723989524
1928	0.5723929113
1929	0.57238523
1930	0.5723777478
1931	0.5723709946
1932	0.5723613964
1933	0.5723544745
1934	0.5723491185
